,Is your research data automatically backed up?,Did you lose any research data in the past year?,You said you lost research data in the past year. How much time did you lose?,How frequently do you have problems finding a specific research data file in your collection?,"Do you currently use any dedicated tools for research data management, for example, an electronic lab notebook, or a version control system (such as Git)?",You said that you are currently using tools for data management. What are these tool(s)?,Would you be interested in trying out a dedicated tool for research data management?,Does your project have a data management plan?,Do you know who owns the research data that you are creating?,You said you know who owns the research data that you are creating. Who is it?,Who do you think is responsible for the stewardship of research data resulting from your project?,"Are you aware of funders’ expectations for Findable, Accessible, Interoperable and Reusable (FAIR) data?",Are you aware of research data repositories?,Please provide us with the name(s) of the repository(ies) that you are using,Please indicate if you (or related staff / students) would be interested in any potential training on research data management,Which institution are you from?,Have you heard about dedicated support for research data management at EPFL?,"Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines for data curation (what data to preserve, what metadata and documentation to link to data)]","Among the data curation services indicated below, which would be helpful for your research data management? [Availability of an institutional repository]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a repository]","Among the data curation services indicated below, which would be helpful for your research data management? [Support for depositing data in a repository (includes choice of datasets to be deposited, choice of metadata, data preparation for depositing, link between datasets and publications)]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for data anonymization in case of sensitive data]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines on data re-use policy (how to find data, how to cite data, legal and ethical aspects)]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a license to apply to your data]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for cleaning and managing data in the laboratory (evaluation of the data life-cycle management in the laboratory, analysis of data workflows, guidelines on data format and interoperability of datasets)]","Among the data curation services indicated below, which would be helpful for your research data management? [Advice for storage and security issues]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for verifying data integrity and checking data obsolescence]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for putting in practice the DMP]","Among the data curation services indicated below, which would be helpful for your research data management? [Support for costing data management]",Do you share data files associated with your publications?,Please specify where you share your data,What is your position?,"Do you know where to look for available ICT resources (e.g. storage options, available software) at TU Delft?",Have you heard of 4TU.Centre for Research Data archive (https://www.4tu.nl/en/research/)?,Have you heard about the Data Stewardship project and dedicated support for data management at your faculty?,What is your position?,Which faculty are you from?
89,Yes,Not sure,,Frequently,Yes,"Git, SLIMS, Pyrat",,No,Not sure,,Myself;My supervisor;My unit's IT manager;My university/institution;My funding agency,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Data café informal drop in sessions,EPFL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, often","University servers, email, google drive",Technical or scientific support staff,,,,,
90,No,No,,Very frequently,No,,Yes,No,Not sure,,Myself,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,"General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,No,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,No,,Full Professor,,,,,
91,Yes,No,,Sometimes,No,,Not sure,No,Not sure,,Myself;My funding agency,Not sure,Not sure,,Data backup and storage solutions;Data ownership and licensing;Using version control software,EPFL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,"Yes, sometimes","Colleagues
",Postdoc/researcher,,,,,
92,Yes,No,,Almost never,No,,Yes,Yes,Yes,The PI of the users of my core facility.,Myself;My supervisor,Yes,"Yes, I am already using them to find existing datasets or to share my own data","SRA, GEO",General introduction to research data management;Data backup and storage solutions;Using version control software,EPFL,"Yes, I have already used it",Not sure,Yes,No,No,Yes,Not sure,Not sure,Not sure,"Yes, urgently",Yes,Yes,Yes,Yes,"GEO, SRA",Head of a core facility.,,,,,
93,Yes,No,,Sometimes,No,,No,No,Yes,"I would say these are my files, so it is mine.",My university/institution,Not sure,"No, I have no idea what these are",,Not interested in training,EPFL,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, sometimes",dropbox,Postdoc/researcher,,,,,
94,Yes,No,,Sometimes,No,,Yes,No,Yes,EPFL and myself,Myself;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,"Yes, sometimes",depositories that are specified by journals,Full Professor,,,,,
95,No,No,,Sometimes,Not sure,,Yes,No,Not sure,,Myself;My supervisor;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,EPFL,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,"Yes, urgently","Yes, urgently",Yes,Yes,"Yes, urgently","Yes, sometimes","SharePoint university owned, epfl Server/ google drive",Postdoc/researcher,,,,,
96,Yes,No,,Almost never,Yes,SLims (Genohm),,No,Not sure,,Myself,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,"General introduction to research data management;Organising folders and files;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)",EPFL,Yes,Yes,"Yes, urgently","Yes, urgently",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, urgently","Yes, sometimes",Sending directly to collaborators,Adjunct or MER Professor,,,,,
97,No,No,,Sometimes,No,,Yes,No,Yes,epfl,Myself;My supervisor,Yes,"Yes, I am aware of research data repositories, but I have not used them",,already had a training on research data management,EPFL,Yes,Yes,"Yes, urgently","Yes, urgently",No,No,No,No,Not sure,Not sure,Yes,No,Not sure,"Yes, sometimes",editor,PhD student,,,,,
98,No,No,,Sometimes,No,,Yes,No,Yes,My supervisor,Myself,No,Not sure,,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions",EPFL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, sometimes",Google Drive,Postdoc/researcher,,,,,
99,No,No,,Almost never,No,,Yes,No,Yes,The lab archives and the researcher who generated the data.,Myself;My unit's IT manager;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing,EPFL,Yes,Yes,"Yes, urgently","Yes, urgently","Yes, urgently",No,Yes,"Yes, urgently",Yes,"Yes, urgently",Yes,"Yes, urgently","Yes, urgently","Yes, sometimes",when asked by colleagues,Full Professor,,,,,
100,No,Not sure,,Sometimes,Yes,OneNote for labbook,,No,Not sure,,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data café informal drop in sessions,EPFL,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,,Junior Professor ,,,,,
101,No,No,,Never,Yes,"notepad, copernic",,Not sure,Not sure,,Myself;My supervisor;Project partner (e.g. commercial company or a collaborator),No,Not sure,,Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,EPFL,No,Not sure,Not sure,Not sure,Not sure,No,No,Not sure,Not sure,"Yes, urgently",Not sure,Not sure,Not sure,Not sure,,Technical or scientific support staff,,,,,
102,Yes,No,,Almost never,Yes,slims eln,,Yes,Yes,funding agency and school,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Data café informal drop in sessions,EPFL,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,"Yes, sometimes",in publication,Tenure Track Assistant Professor,,,,,
103,Yes,No,,Sometimes,No,,Yes,No,No,,Not sure,No,Not sure,,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software,EPFL,No,Yes,Yes,Not sure,Not sure,No,No,Not sure,"Yes, urgently","Yes, urgently",Yes,"Yes, urgently","Yes, urgently",No,,Postdoc/researcher,,,,,
104,Yes,No,,Sometimes,Yes,"git (+github/bitbucket), mendeley, dropbox",,Not sure,Yes,"online repositories by the company providing them, copies in the the university servers by the lab/university, local copies by me and other online copies, in their (locally) encrypted form by the respective cloud provider",Myself;Not sure,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,"General introduction to research data management;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,Yes,Not sure,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,,PhD student,,,,,
105,Yes,No,,Almost never,No,,No,Not sure,Yes,EPFL,Myself;My university/institution,Yes,"Yes, I am already using them to find existing datasets or to share my own data",Math Arxiv,Organising folders and files;Data backup and storage solutions,EPFL,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Not sure,No,Yes,"Math ArXiv, webpage, infoscience",Postdoc/researcher,,,,,
106,Yes,No,,Almost never,No,,Not sure,No,Yes,EPFL,Myself;My supervisor;Project partner (e.g. commercial company or a collaborator),No,"Yes, I am aware of research data repositories, but I have not used them",,Not interested in training,EPFL,No,No,"Yes, urgently",Yes,Not sure,No,No,Not sure,Not sure,No,No,No,No,Not sure,,Technical or scientific support staff,,,,,
107,Yes,No,,Sometimes,No,,Yes,No,Yes,my home institution,Myself;My unit's IT manager;My university/institution,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,Yes,Yes,Yes,Yes,"Yes, urgently",Not sure,Not sure,Yes,Yes,"Yes, urgently","Yes, urgently",Yes,Yes,No,,Full Professor,,,,,
108,Yes,No,,Sometimes,Yes,git,,Not sure,No,,Project partner (e.g. commercial company or a collaborator),No,"No, I have no idea what these are",,Not interested in training,EPFL,No,No,"Yes, urgently",No,No,No,Yes,Yes,No,Not sure,No,No,No,No,,Postdoc/researcher,,,,,
109,No,Yes,1 day - 7 days,Frequently,No,,Yes,Yes,Not sure,,Myself;Project partner (e.g. commercial company or a collaborator),Not sure,"Yes, I am aware of research data repositories, but I have not used them",,"General introduction to research data management;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,No,Yes,"Yes, urgently","Yes, urgently",Yes,Yes,"Yes, urgently","Yes, urgently","Yes, urgently","Yes, urgently",Yes,"Yes, urgently",Yes,"Yes, sometimes",in the supplement,PhD student,,,,,
110,Yes,No,,Sometimes,Yes,git and Gitlab,,Not sure,Not sure,,Myself;My supervisor,No,"Yes, I am aware of research data repositories, but I have not used them",,Not interested in training,EPFL,No,No,Yes,No,No,No,No,Yes,No,No,No,Not sure,Not sure,"Yes, sometimes",ArXiv,Postdoc/researcher,,,,,
111,No,No,,Sometimes,No,,Yes,Not sure,Yes,"Me, My collaborators, My supervisor and In some cases the funding body",Myself;My supervisor;My funding agency;Project partner (e.g. commercial company or a collaborator),Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing,EPFL,Yes,Yes,"Yes, urgently",Yes,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,No,"Yes, sometimes",It depends on the project and the university,Postdoc/researcher,,,,,
112,Yes,No,,Never,No,,No,No,Yes,Our group and the FNS who funds it.,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation,EPFL,"Yes, I have already used it",No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,"Yes, sometimes",As supplementary information to published papers,Full Professor,,,,,
113,Yes,No,,Sometimes,Yes,"GitHub, c4science",,No,Yes,"Me, my lab and my organization",Myself;My supervisor,Yes,"No, I have no idea what these are",,"General introduction to research data management;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/)",EPFL,"Yes, I have already used it",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not sure,"Yes, often",Code repository -my data are the source code that I produce,Postdoc/researcher,,,,,
114,No,No,,Sometimes,No,,Not sure,Yes,Yes,"University, EPFL",Myself,No,"Yes, I am already using them to find existing datasets or to share my own data","GEO, bioarchive",General introduction to research data management;Data management plan preparation;Data backup and storage solutions,EPFL,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,"Yes, often",supplemental information and GEO,Tenure Track Assistant Professor,,,,,
115,Yes,No,,Sometimes,No,,Yes,Yes,Yes,The University,My supervisor;My university/institution,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,"Data carpentry (http://www.datacarpentry.org/);Some of these are useful, but it's a lot of effort to attend training sessions. I'd pay more attention when I get taught from my own group at the beginning of my work, and it's them that tell me about it",EPFL,No,No,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,No,Yes,Not sure,Yes,No,,Postdoc/researcher,,,,,
116,Yes,No,,Almost never,Yes,git repositories and wikis,,Yes,Not sure,,Myself;My supervisor;My university/institution,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,"Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions",EPFL,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, sometimes",github or other git repos,Postdoc/researcher,,,,,
117,Not sure,No,,Almost never,Yes,Slims,,No,Not sure,,Myself;My supervisor,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,EPFL,No,Yes,No,Yes,Yes,No,Yes,Not sure,Yes,Not sure,Yes,Not sure,Yes,Not sure,,Postdoc/researcher,,,,,
118,Yes,No,,Sometimes,No,,Yes,No,No,,Myself;My supervisor;My unit's IT manager;Project partner (e.g. commercial company or a collaborator),Not sure,"Yes, I am aware of research data repositories, but I have not used them",,Organising folders and files;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),EPFL,No,Yes,"Yes, urgently",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,"Yes, sometimes",zenodo and/or unit website,Postdoc/researcher,,,,,
119,Yes,No,,Never,No,,Yes,No,Yes,"EPFL, my university",Myself;My supervisor,No,"No, I have no idea what these are",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software;Funders’ requirements for data management and sharing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),EPFL,No,Yes,"Yes, urgently",Yes,Yes,No,Yes,No,"Yes, urgently",Yes,Yes,No,No,Not sure,,Postdoc/researcher,,,,,
120,No,No,,Almost never,Yes,"Paper labbook, git repositories ",,No,Not sure,,My university/institution,Not sure,"No, I have no idea what these are",,Data backup and storage solutions;Using version control software,EPFL,No,No,Yes,Not sure,No,No,No,No,Yes,Yes,No,No,"Yes, urgently",No,,Tenure Track Assistant Professor,,,,,
121,No,No,,Sometimes,Yes,"git
",,No,Yes,"EPFL
",Myself;My supervisor;My unit's IT manager;My university/institution,Not sure,Not sure,,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,No,Yes,"Yes, urgently",Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,No,No,Yes,GitLab,Postdoc/researcher,,,,,
122,No,No,,Sometimes,No,,Yes,Not sure,No,,Myself;My supervisor,Yes,"Yes, I am already using them to find existing datasets or to share my own data",SWITCH,Organising folders and files;Data backup and storage solutions;Data ownership and licensing,EPFL,No,Yes,Not sure,Yes,Yes,Yes,Not sure,Not sure,"Yes, urgently",Yes,"Yes, urgently",Not sure,Yes,"Yes, often",Switch,Postdoc/researcher,,,,,
123,No,No,,Almost never,No,,Yes,Yes,Yes,The university,Myself;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management,EPFL,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,Postdoc/researcher,,,,,
124,Yes,No,,Almost never,No,,Yes,No,Not sure,,Myself;My supervisor;My university/institution,No,Not sure,,General introduction to research data management;Organising folders and files;Data backup and storage solutions,EPFL,Yes,Yes,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Not sure,Not sure,Not sure,No,,Postdoc/researcher,,,,,
125,Yes,No,,Almost never,No,,Yes,No,Yes,EPFL,Myself;My supervisor;My university/institution,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,"General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Postdoc/researcher,,,,,
126,Yes,No,,Sometimes,No,,Not sure,No,Yes,"The data that I received from external actors (companies, etc. ) belongs to them. The data that I produce belongs to me",Myself;My university/institution,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Data carpentry (http://www.datacarpentry.org/),EPFL,No,Yes,Not sure,No,Yes,Yes,Yes,Yes,No,No,Not sure,Not sure,Not sure,No,,Postdoc/researcher,,,,,
127,No,No,,Sometimes,No,,Yes,No,Yes,my employer,Myself;My university/institution;Not sure,Yes,"Yes, I am aware of research data repositories, but I have not used them",,Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,EPFL,No,No,"Yes, urgently",Yes,"Yes, urgently",No,Yes,Yes,Yes,Yes,"Yes, urgently",Yes,"Yes, urgently","Yes, sometimes",I would give them to any colleague asking for it,Associate Professor,,,,,
128,No,No,,Never,No,,Yes,No,Yes,"It depends in which context, of who acquired the data, or who funded data acquisition, etc.",There is a cnsortium agreement signed to fix it + EU now required data to be open access ,Yes,"Yes, I am already using them to find existing datasets or to share my own data","Zenodo, Dryad","Data management plan preparation;Data backup and storage solutions;Data ownership and licensing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,Yes,No,"Yes, urgently",Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Zenodo,Adjunct or MER Professor,,,,,
129,Yes,No,,Almost never,No,,No,No,Not sure,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,Not interested in training,EPFL,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, sometimes",EPFL  Server,Full Professor,,,,,
130,No,No,,Sometimes,Yes,Git,,Not sure,No,,Myself;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software,EPFL,Yes,Yes,"Yes, urgently",Yes,Yes,No,No,Yes,"Yes, urgently",Yes,Yes,No,No,"Yes, sometimes",Github,Technical or scientific support staff,,,,,
131,Yes,Yes,7 days - 1 month,Almost never,Not sure,,Yes,No,Yes,my employer,My supervisor,No,"Yes, I am aware of research data repositories, but I have not used them",,Not interested in training,EPFL,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,,Technical or scientific support staff,,,,,
132,Yes,No,,Almost never,Not sure,,Not sure,Not sure,Not sure,,Myself;My university/institution,Not sure,Not sure,,General introduction to research data management;Organising folders and files;Data backup and storage solutions;Data ownership and licensing,EPFL,"Yes, I have already used it",No,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Not sure,Not sure,Not sure,"Yes, sometimes",I send it through email upon request from whoever is interested.,Postdoc/researcher,,,,,
133,Yes,Yes,1 day - 7 days,Sometimes,No,,Yes,No,Yes,EPFL,Not sure,Yes,"Yes, I am already using them to find existing datasets or to share my own data",Google Drive,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Not sure,,PhD student,,,,,
134,No,No,,Almost never,No,,Yes,Not sure,Yes,EPFL/supervisor,Myself;My supervisor,No,Not sure,,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,No,Yes,Yes,Yes,Yes,Not sure,Not sure,Not sure,Yes,Yes,Yes,Not sure,Not sure,Yes,Google Drive,Postdoc/researcher,,,,,
135,No,No,,Sometimes,No,,Yes,No,Not sure,,Myself;My supervisor;My unit's IT manager;My university/institution,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,EPFL,Yes,Yes,Not sure,Yes,Yes,Not sure,Not sure,Not sure,Yes,Yes,Yes,Not sure,Yes,No,,Postdoc/researcher,,,,,
136,Yes,No,,Almost never,No,,Yes,No,Yes,EPFL or industrial partner,Myself;My supervisor;My university/institution;Project partner (e.g. commercial company or a collaborator),No,"No, I have no idea what these are",,"General introduction to research data management;Data ownership and licensing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,Yes,Yes,Yes,No,Not sure,No,Not sure,Not sure,Not sure,Yes,Yes,Not sure,Not sure,No,,Postdoc/researcher,,,,,
137,Yes,No,,Sometimes,Yes,GIT repository for software development,,Not sure,Not sure,,Myself,Not sure,Not sure,,"General introduction to research data management;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Not sure,"Yes, sometimes",GIT + journal's web site,Full Professor,,,,,
138,Yes,No,,Sometimes,No,,Not sure,Yes,Yes,I prefer not to answer this question,Myself;My supervisor;Project partner (e.g. commercial company or a collaborator),Yes,"Yes, I am aware of research data repositories, but I have not used them",,Not interested in training,EPFL,"Yes, I have already used it",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,Postdoc/researcher,,,,,
139,Not sure,Not sure,,Sometimes,No,,Yes,No,Not sure,,My supervisor;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;Data ownership and licensing,EPFL,Yes,"Yes, urgently","Yes, urgently",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, urgently",Yes,Yes,"Yes, urgently",Not sure,,Postdoc/researcher,,,,,
140,Not sure,No,,Almost never,No,,Yes,No,Not sure,,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),EPFL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,"Yes, sometimes",webpages,,,,,,
141,No,Not sure,,Frequently,Yes,git,,Not sure,Not sure,,Myself,Yes,"Yes, I am already using them to find existing datasets or to share my own data",Zenodo,Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software,EPFL,No,Yes,"Yes, urgently",Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure,"Yes, often",README page on the code repository,PhD student,,,,,
142,No,No,,Almost never,Yes,"Git, Google drive (Not automatically synced)",,Yes,Not sure,,Myself;My supervisor;My funding agency,No,"No, I have no idea what these are",,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions",EPFL,No,"Yes, urgently",Yes,Yes,Yes,Yes,"Yes, urgently","Yes, urgently","Yes, urgently",Yes,"Yes, urgently","Yes, urgently",No,Not sure,,PhD student,,,,,
143,No,No,,Sometimes,No,,Yes,Yes,Yes,"It depends, we have research contracts that specify this issue for each projects...",Myself,Not sure,"No, I have no idea what these are",,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)",EPFL,"Yes, I have already used it",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, sometimes",Data paper for Energy and Buildings journal,Postdoc/researcher,,,,,
144,No,No,,Frequently,Yes,"git, evernote, google docs",,No,No,,Myself;My supervisor,No,Not sure,,Not interested in training,EPFL,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, urgently",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, sometimes",website,Postdoc/researcher,,,,,
145,No,No,,Frequently,No,,Yes,No,Yes,EPFL,Myself;My supervisor;Not sure,No,"No, I have no idea what these are",,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)",EPFL,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,,PhD student,,,,,
