,Is your research data automatically backed up?,Did you lose any research data in the past year?,You said you lost research data in the past year. How much time did you lose?,How frequently do you have problems finding a specific research data file in your collection?,"Do you currently use any dedicated tools for research data management, for example, an electronic lab notebook, or a version control system (such as Git)?",You said that you are currently using tools for data management. What are these tool(s)?,Would you be interested in trying out a dedicated tool for research data management?,Does your project have a data management plan?,Do you know who owns the research data that you are creating?,You said you know who owns the research data that you are creating. Who is it?,Who do you think is responsible for the stewardship of research data resulting from your project?,"Are you aware of funders’ expectations for Findable, Accessible, Interoperable and Reusable (FAIR) data?",Are you aware of research data repositories?,Please provide us with the name(s) of the repository(ies) that you are using,Please indicate if you (or related staff / students) would be interested in any potential training on research data management,Which institution are you from?,Have you heard about dedicated support for research data management at EPFL?,"Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines for data curation (what data to preserve, what metadata and documentation to link to data)]","Among the data curation services indicated below, which would be helpful for your research data management? [Availability of an institutional repository]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a repository]","Among the data curation services indicated below, which would be helpful for your research data management? [Support for depositing data in a repository (includes choice of datasets to be deposited, choice of metadata, data preparation for depositing, link between datasets and publications)]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for data anonymization in case of sensitive data]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines on data re-use policy (how to find data, how to cite data, legal and ethical aspects)]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a license to apply to your data]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for cleaning and managing data in the laboratory (evaluation of the data life-cycle management in the laboratory, analysis of data workflows, guidelines on data format and interoperability of datasets)]","Among the data curation services indicated below, which would be helpful for your research data management? [Advice for storage and security issues]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for verifying data integrity and checking data obsolescence]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for putting in practice the DMP]","Among the data curation services indicated below, which would be helpful for your research data management? [Support for costing data management]",Do you share data files associated with your publications?,Please specify where you share your data,What is your position?,"Do you know where to look for available ICT resources (e.g. storage options, available software) at TU Delft?",Have you heard of 4TU.Centre for Research Data archive (https://www.4tu.nl/en/research/)?,Have you heard about the Data Stewardship project and dedicated support for data management at your faculty?,What is your position?,Which faculty are you from?
10,Yes,No,,Sometimes,No,,Not sure,No,Not sure,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,Data backup and storage solutions;Using version control software,EPFL,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,Associate Professor,,,,,
11,No,No,,Almost never,Yes,SLIMS,,Yes,Yes,EPFL,Myself,Yes,"Yes, I am already using them to find existing datasets or to share my own data",Figshare,General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,EPFL,Yes,"Yes, urgently","Yes, urgently",Yes,"Yes, urgently",Not sure,Not sure,Not sure,Yes,"Yes, urgently","Yes, urgently",Yes,"Yes, urgently",Yes,Figshare,Full Professor,,,,,
12,No,No,,Almost never,No,,Yes,No,No,,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data backup and storage solutions,EPFL,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,"Yes, sometimes","SI, through e-mail",Tenure Track Assistant Professor,,,,,
13,Yes,No,,Almost never,No,,Not sure,No,Yes,The university,Myself,Yes,"Yes, I am already using them to find existing datasets or to share my own data","Zenodo, Figshare",Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),EPFL,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Zenodo, Figshare",Associate Professor,,,,,
14,Yes,Yes,1 month - 6 months,Sometimes,Yes,"GitHub, Cloud storage.",,Yes,Yes,"Depends on the project. Often the data is owned by the lab. However, there are exceptions where we request to use data for research and at time even commercial purposes, in particular for publications and presentations.",Myself,Yes,"Yes, I am already using them to find existing datasets or to share my own data",e.g. ArXiv.org but also our own and some of our projects like qualinet databases,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions",EPFL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, sometimes",Multimedia quality scores and content,Adjunct or MER Professor,,,,,
15,No,No,,Sometimes,No,,Yes,No,Yes,Me,Myself;My university/institution;My funding agency,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management,EPFL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,in my publications and when I am asked by colleagues to provide data,Adjunct or MER Professor,,,,,
16,Yes,No,,Never,No,,No,Yes,Yes,Me myself and I,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,Not interested in training,EPFL,Yes,No,No,No,"Yes, urgently",No,No,No,"Yes, urgently","Yes, urgently","Yes, urgently","Yes, urgently",No,No,,Full Professor,,,,,
17,Yes,No,,Almost never,Yes,openBIS,,No,Yes,lab,My supervisor,Yes,"Yes, I am aware of research data repositories, but I have not used them",,"Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,Yes,"Yes, urgently",No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Mendeley,Associate Professor,,,,,
18,Yes,No,,Sometimes,Yes,"Github, slack",,No,Yes,copyright owner or us,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,"Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);most of the ones above",EPFL,No,Yes,"Yes, urgently","Yes, urgently","Yes, urgently",Yes,Yes,"Yes, urgently",No,Yes,"Yes, urgently","Yes, urgently","Yes, urgently","Yes, often",the lab website,Full Professor,,,,,
19,Yes,No,,Almost never,No,,Not sure,No,No,,Myself;My supervisor,No,"Yes, I am already using them to find existing datasets or to share my own data",open science framework,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,"Yes, I have already used it",Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,No,,PhD student,,,,,
