image,dowloaded_from,license,Author,citation,PUID
carousel/opensciencelogo.jpg,https://github.com/jcolomb/opensciencelogo,"CC-BY 4.0","Julien COLOMB",,NA
carousel/RDM_word_cloud.jpg,https://libguides.library.dmu.ac.uk/RDM,?,?,?,NA
